path	review_mode	note
.dockerignore	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
.env.example	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
.gitignore	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
compose.backup.yaml	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
compose.server.yaml	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
compose.yaml	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/001_booking.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/002_auth.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/003_access.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/004_domains_embed.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/005_service_management.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/006_service_group_hierarchy.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/007_schedule_management.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/008_booking_management.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/009_status_occupancy.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/010_customers.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/011_calendar_reads.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/012_languages.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/013_service_translations.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/014_model_invariants.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/015_lifecycle_model.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/016_snapshot_guards.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/017_request_limits.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/018_notification_delivery.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/019_company_provisioning.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/020_onboarding.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/021_export_jobs.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/022_media_write_scope.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/023_import_upload.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/024_import_preview.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/025_import_commit.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/026_import_cancel.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/027_company_exit.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/028_customer_merge.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/029_subscription_terms.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/030_invoice_issuance.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/031_payment_records.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/032_invoice_credit_notes.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/033_credit_integrity.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/034_payment_attempts.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/035_payment_mandates.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/036_autopay_attempts.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/037_invoice_payment_links.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/038_provider_refunds.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/039_billing_period_worker.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/040_invoice_mail.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
db/migrations/041_invoice_reminders.sql	manual-source-or-configuration-review	Read and compared to chapter requirements; not every runtime path exercised
